UKPRN_of_registering_provider,POPULATION_TYPE,INDICATOR_NAME,MODE,LEVEL,SPLIT_IND_TYPE,SPLIT_IND,YEAR,SUPP_REASON,INDICATOR_VALUE,DENOMINATOR,NUMERIC_THRESHOLD,BELOW_THRESHOLD,ABOVE_THRESHOLD,BENCHMARK_VALUE,DIFFERENCE,BELOW_BENCH,ABOVE_BENCH,INDICATOR_VALUE_NUM,BENCHMARK_VALUE_NUM,DIFFERENCE_NUM,DENOMINATOR_NUM,FOCUS_FLAG,COHORT_FLAG,SPLIT_IND_LABEL,SPLIT_IND_TYPE_LABEL,CATEGORY_LABEL
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,AgeOnCommencement,AgeUnder21,2019-2022,,84.5,100,70,0.0,100.0,93.3,-8.9,99.9,0.0,84.5,93.3,-8.9,100.0,Focus,OK (>=50),Under 21 years,Age on commencement,Age on commencement: Under 21 years
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,ABCSQuintile,ABCSQ4_5,2019-2022,,86.8,70,70,0.1,99.9,93.0,-6.2,97.2,2.8,86.8,93.0,-6.2,70.0,Focus,OK (>=50),Quintile 4 or 5 (highest rates),Associations between characteristics of students quintile,Associations between characteristics of students quintile: Quintile 4 or 5 (highest rates)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Disability,Disabled,2019-2022,,86.9,80,70,0.0,100.0,89.5,-2.6,79.6,20.4,86.9,89.5,-2.6,80.0,Focus,OK (>=50),Disability reported,Disability,Disability: Disability reported
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,SubjectOfStudy,CAH26-01,2019-2022,,90.3,60,70,0.0,100.0,92.6,-2.3,81.6,18.4,90.3,92.6,-2.3,60.0,Focus,OK (>=50),"Geography, earth and environmental studies ",Subject of study,"Subject of study: Geography, earth and environmental studies "
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Ethnicity,Mixed,2019-2022,,88.9,40,70,0.4,99.6,90.1,-1.2,60.4,39.6,88.9,90.1,-1.2,40.0,Focus,Small cohort (<50),Mixed,Ethnicity,Ethnicity: Mixed
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Year,Year1,2019,,89.7,140,70,0.0,100.0,90.5,-0.8,63.6,36.4,89.7,90.5,-0.8,140.0,Watch,OK (>=50),Year 1 (earliest),Year,Year: Year 1 (earliest)
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,Ethnicity,White,2019-2022,,91.0,270,70,0.0,100.0,91.7,-0.8,67.2,32.8,91.0,91.7,-0.8,270.0,Watch,OK (>=50),White,Ethnicity,Ethnicity: White
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,CourseType_OtherUndergraduate,OtherUndergraduateLevel5+,2019-2022,,87.5,270,70,0.0,100.0,88.0,-0.4,58.6,41.4,87.5,88.0,-0.4,270.0,Watch,OK (>=50),Other undergraduate level 5+,Course type - other undergraduate,Course type - other undergraduate: Other undergraduate level 5+
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,AgeOnCommencement,Age21_30,2019-2022,,88.8,130,70,0.0,100.0,89.1,-0.3,55.3,44.7,88.8,89.1,-0.3,130.0,Watch,OK (>=50),21 to 30 years,Age on commencement,Age on commencement: 21 to 30 years
10003678,Taught,Continuation,Apprenticeship,AllUndergraduates,SubjectOfStudy,CAH02-04,2019-2022,,88.1,280,70,0.0,100.0,88.3,-0.2,55.1,44.9,88.1,88.3,-0.2,280.0,Watch,OK (>=50),Nursing and midwifery,Subject of study,Subject of study: Nursing and midwifery
